Unidades territoriales;Indicadores de renta media;Periodo;Total
2900701001 Alhaurín de la Torre sección 01001;Renta media por hogar;2016;20.643
2900701001 Alhaurín de la Torre sección 01001;Renta media por hogar;2015;19.594
2900701002 Alhaurín de la Torre sección 01002;Renta media por persona ;2017;8.087
2900701002 Alhaurín de la Torre sección 01002;Renta media por persona ;2016;7.613
2900701002 Alhaurín de la Torre sección 01002;Renta media por persona ;2015;7.422
2900701002 Alhaurín de la Torre sección 01002;Renta media por hogar;2017;23.350
2900701002 Alhaurín de la Torre sección 01002;Renta media por hogar;2016;21.789
2900701002 Alhaurín de la Torre sección 01002;Renta media por hogar;2015;20.903
2900701003 Alhaurín de la Torre sección 01003;Renta media por persona ;2017;9.403
2900701003 Alhaurín de la Torre sección 01003;Renta media por persona ;2016;9.013
2900701003 Alhaurín de la Torre sección 01003;Renta media por persona ;2015;8.836
2900701003 Alhaurín de la Torre sección 01003;Renta media por hogar;2017;31.173
2900701003 Alhaurín de la Torre sección 01003;Renta media por hogar;2016;29.340
2900701003 Alhaurín de la Torre sección 01003;Renta media por hogar;2015;28.415
2900701004 Alhaurín de la Torre sección 01004;Renta media por persona ;2017;9.524
2900701004 Alhaurín de la Torre sección 01004;Renta media por persona ;2016;8.627
2900701004 Alhaurín de la Torre sección 01004;Renta media por persona ;2015;8.405
2900701004 Alhaurín de la Torre sección 01004;Renta media por hogar;2017;27.280
2900701004 Alhaurín de la Torre sección 01004;Renta media por hogar;2016;24.515
2900701004 Alhaurín de la Torre sección 01004;Renta media por hogar;2015;23.546
2900701005 Alhaurín de la Torre sección 01005;Renta media por persona ;2017;7.879
2900701005 Alhaurín de la Torre sección 01005;Renta media por persona ;2016;7.652
2900701005 Alhaurín de la Torre sección 01005;Renta media por persona ;2015;7.392
2900701005 Alhaurín de la Torre sección 01005;Renta media por hogar;2017;22.312
2900701005 Alhaurín de la Torre sección 01005;Renta media por hogar;2016;21.639
2900701005 Alhaurín de la Torre sección 01005;Renta media por hogar;2015;20.747
2900701006 Alhaurín de la Torre sección 01006;Renta media por persona ;2017;11.499
2900701006 Alhaurín de la Torre sección 01006;Renta media por persona ;2016;10.859
2900701006 Alhaurín de la Torre sección 01006;Renta media por persona ;2015;10.422
2900701006 Alhaurín de la Torre sección 01006;Renta media por hogar;2017;36.959
2900701006 Alhaurín de la Torre sección 01006;Renta media por hogar;2016;35.181
2900701006 Alhaurín de la Torre sección 01006;Renta media por hogar;2015;34.297
2900701007 Alhaurín de la Torre sección 01007;Renta media por persona ;2017;10.051
2900701007 Alhaurín de la Torre sección 01007;Renta media por persona ;2016;9.520
2900701007 Alhaurín de la Torre sección 01007;Renta media por persona ;2015;9.241
2900701007 Alhaurín de la Torre sección 01007;Renta media por hogar;2017;32.600
2900701007 Alhaurín de la Torre sección 01007;Renta media por hogar;2016;31.037
2900701007 Alhaurín de la Torre sección 01007;Renta media por hogar;2015;29.456
2900701008 Alhaurín de la Torre sección 01008;Renta media por persona ;2017;7.533
2900701008 Alhaurín de la Torre sección 01008;Renta media por persona ;2016;7.178
2900701008 Alhaurín de la Torre sección 01008;Renta media por persona ;2015;7.139
2900701008 Alhaurín de la Torre sección 01008;Renta media por hogar;2017;22.196
2900701008 Alhaurín de la Torre sección 01008;Renta media por hogar;2016;20.900
2900701008 Alhaurín de la Torre sección 01008;Renta media por hogar;2015;20.892
2900701009 Alhaurín de la Torre sección 01009;Renta media por persona ;2017;8.032
2900701009 Alhaurín de la Torre sección 01009;Renta media por persona ;2016;7.535
2900701009 Alhaurín de la Torre sección 01009;Renta media por persona ;2015;7.554
2900701009 Alhaurín de la Torre sección 01009;Renta media por hogar;2017;23.946
2900701009 Alhaurín de la Torre sección 01009;Renta media por hogar;2016;22.065
2900701009 Alhaurín de la Torre sección 01009;Renta media por hogar;2015;21.925
2900701010 Alhaurín de la Torre sección 01010;Renta media por persona ;2017;11.421
2900701010 Alhaurín de la Torre sección 01010;Renta media por persona ;2016;10.931
2900701010 Alhaurín de la Torre sección 01010;Renta media por persona ;2015;10.514
2900701010 Alhaurín de la Torre sección 01010;Renta media por hogar;2017;34.960
2900701010 Alhaurín de la Torre sección 01010;Renta media por hogar;2016;32.956
2900701010 Alhaurín de la Torre sección 01010;Renta media por hogar;2015;31.595
2900701011 Alhaurín de la Torre sección 01011;Renta media por persona ;2017;8.839
2900701011 Alhaurín de la Torre sección 01011;Renta media por persona ;2016;8.604
2900701011 Alhaurín de la Torre sección 01011;Renta media por persona ;2015;8.602
2900701011 Alhaurín de la Torre sección 01011;Renta media por hogar;2017;26.211
2900701011 Alhaurín de la Torre sección 01011;Renta media por hogar;2016;25.269
2900701011 Alhaurín de la Torre sección 01011;Renta media por hogar;2015;25.348
2900701012 Alhaurín de la Torre sección 01012;Renta media por persona ;2017;11.601
2900701012 Alhaurín de la Torre sección 01012;Renta media por persona ;2016;11.062
2900701012 Alhaurín de la Torre sección 01012;Renta media por persona ;2015;10.542
2900701012 Alhaurín de la Torre sección 01012;Renta media por hogar;2017;36.817
2900701012 Alhaurín de la Torre sección 01012;Renta media por hogar;2016;35.350
2900701012 Alhaurín de la Torre sección 01012;Renta media por hogar;2015;33.393
2900701013 Alhaurín de la Torre sección 01013;Renta media por persona ;2017;11.781
2900701013 Alhaurín de la Torre sección 01013;Renta media por persona ;2016;12.133
2900701013 Alhaurín de la Torre sección 01013;Renta media por persona ;2015;11.979
2900701013 Alhaurín de la Torre sección 01013;Renta media por hogar;2017;39.864
2900701013 Alhaurín de la Torre sección 01013;Renta media por hogar;2016;40.719
2900701013 Alhaurín de la Torre sección 01013;Renta media por hogar;2015;39.707
2900701014 Alhaurín de la Torre sección 01014;Renta media por persona ;2017;8.529
2900701014 Alhaurín de la Torre sección 01014;Renta media por persona ;2016;8.234
2900701014 Alhaurín de la Torre sección 01014;Renta media por persona ;2015;7.965
2900701014 Alhaurín de la Torre sección 01014;Renta media por hogar;2017;25.051
2900701014 Alhaurín de la Torre sección 01014;Renta media por hogar;2016;24.254
2900701014 Alhaurín de la Torre sección 01014;Renta media por hogar;2015;23.018
2900701015 Alhaurín de la Torre sección 01015;Renta media por persona ;2017;12.513
2900701015 Alhaurín de la Torre sección 01015;Renta media por persona ;2016;12.497
2900701015 Alhaurín de la Torre sección 01015;Renta media por persona ;2015;12.323
2900701015 Alhaurín de la Torre sección 01015;Renta media por hogar;2017;39.528
2900701015 Alhaurín de la Torre sección 01015;Renta media por hogar;2016;39.275
2900701015 Alhaurín de la Torre sección 01015;Renta media por hogar;2015;38.770
2900701016 Alhaurín de la Torre sección 01016;Renta media por persona ;2017;9.408
2900701016 Alhaurín de la Torre sección 01016;Renta media por persona ;2016;9.321
2900701016 Alhaurín de la Torre sección 01016;Renta media por persona ;2015;8.853
2900701016 Alhaurín de la Torre sección 01016;Renta media por hogar;2017;31.388
2900701016 Alhaurín de la Torre sección 01016;Renta media por hogar;2016;30.957
2900701016 Alhaurín de la Torre sección 01016;Renta media por hogar;2015;29.195
2900701017 Alhaurín de la Torre sección 01017;Renta media por persona ;2017;12.876
2900701017 Alhaurín de la Torre sección 01017;Renta media por persona ;2016;11.823
2900701017 Alhaurín de la Torre sección 01017;Renta media por persona ;2015;12.238
2900701017 Alhaurín de la Torre sección 01017;Renta media por hogar;2017;41.717
2900701017 Alhaurín de la Torre sección 01017;Renta media por hogar;2016;38.285
2900701017 Alhaurín de la Torre sección 01017;Renta media por hogar;2015;39.211
2900701018 Alhaurín de la Torre sección 01018;Renta media por persona ;2017;13.075
2900701018 Alhaurín de la Torre sección 01018;Renta media por persona ;2016;12.861
2900701018 Alhaurín de la Torre sección 01018;Renta media por persona ;2015;12.121
2900701018 Alhaurín de la Torre sección 01018;Renta media por hogar;2017;43.969
2900701018 Alhaurín de la Torre sección 01018;Renta media por hogar;2016;43.108
2900701018 Alhaurín de la Torre sección 01018;Renta media por hogar;2015;41.267
2900701019 Alhaurín de la Torre sección 01019;Renta media por persona ;2017;7.795
2900701019 Alhaurín de la Torre sección 01019;Renta media por persona ;2016;7.312
2900701019 Alhaurín de la Torre sección 01019;Renta media por persona ;2015;7.267
2900701019 Alhaurín de la Torre sección 01019;Renta media por hogar;2017;22.302
2900701019 Alhaurín de la Torre sección 01019;Renta media por hogar;2016;20.650
2900701019 Alhaurín de la Torre sección 01019;Renta media por hogar;2015;20.218
2900701020 Alhaurín de la Torre sección 01020;Renta media por persona ;2017;12.062
2900701020 Alhaurín de la Torre sección 01020;Renta media por persona ;2016;11.666
2900701020 Alhaurín de la Torre sección 01020;Renta media por persona ;2015;11.204
2900701020 Alhaurín de la Torre sección 01020;Renta media por hogar;2017;40.226
2900701020 Alhaurín de la Torre sección 01020;Renta media por hogar;2016;38.786
2900701020 Alhaurín de la Torre sección 01020;Renta media por hogar;2015;37.130
29008 Alhaurín el Grande;Renta media por persona ;2017;7.166
29008 Alhaurín el Grande;Renta media por persona ;2016;6.629
29008 Alhaurín el Grande;Renta media por persona ;2015;6.474
29008 Alhaurín el Grande;Renta media por hogar;2017;21.751
29008 Alhaurín el Grande;Renta media por hogar;2016;20.439
29008 Alhaurín el Grande;Renta media por hogar;2015;19.952
2900801 Alhaurín el Grande distrito 01;Renta media por persona ;2017;7.241
2900801 Alhaurín el Grande distrito 01;Renta media por persona ;2016;6.688
2900801 Alhaurín el Grande distrito 01;Renta media por persona ;2015;6.586
2900801 Alhaurín el Grande distrito 01;Renta media por hogar;2017;22.195
2900801 Alhaurín el Grande distrito 01;Renta media por hogar;2016;20.802
2900801 Alhaurín el Grande distrito 01;Renta media por hogar;2015;20.488
2900801001 Alhaurín el Grande sección 01001;Renta media por persona ;2017;6.434
2900801001 Alhaurín el Grande sección 01001;Renta media por persona ;2016;5.672
2900801001 Alhaurín el Grande sección 01001;Renta media por persona ;2015;6.058
2900801001 Alhaurín el Grande sección 01001;Renta media por hogar;2017;18.728
2900801001 Alhaurín el Grande sección 01001;Renta media por hogar;2016;16.540
2900801001 Alhaurín el Grande sección 01001;Renta media por hogar;2015;17.387
2900801002 Alhaurín el Grande sección 01002;Renta media por persona ;2017;7.610
2900801002 Alhaurín el Grande sección 01002;Renta media por persona ;2016;7.240
2900801002 Alhaurín el Grande sección 01002;Renta media por persona ;2015;7.073
2900801002 Alhaurín el Grande sección 01002;Renta media por hogar;2017;24.532
2900801002 Alhaurín el Grande sección 01002;Renta media por hogar;2016;23.665
2900801002 Alhaurín el Grande sección 01002;Renta media por hogar;2015;23.219
2900801003 Alhaurín el Grande sección 01003;Renta media por persona ;2017;7.143
2900801003 Alhaurín el Grande sección 01003;Renta media por persona ;2016;6.527
2900801003 Alhaurín el Grande sección 01003;Renta media por persona ;2015;6.241
