Unidades territoriales;Indicadores de renta media;Periodo;Total
1100401019 Algeciras sección 01019;Renta media por hogar;2015;28.945
1100401020 Algeciras sección 01020;Renta media por persona ;2017;11.888
1100401020 Algeciras sección 01020;Renta media por persona ;2016;11.469
1100401020 Algeciras sección 01020;Renta media por persona ;2015;12.047
1100401020 Algeciras sección 01020;Renta media por hogar;2017;30.663
1100401020 Algeciras sección 01020;Renta media por hogar;2016;30.270
1100401020 Algeciras sección 01020;Renta media por hogar;2015;31.939
1100401021 Algeciras sección 01021;Renta media por persona ;2017;9.725
1100401021 Algeciras sección 01021;Renta media por persona ;2016;9.656
1100401021 Algeciras sección 01021;Renta media por persona ;2015;9.596
1100401021 Algeciras sección 01021;Renta media por hogar;2017;28.333
1100401021 Algeciras sección 01021;Renta media por hogar;2016;27.882
1100401021 Algeciras sección 01021;Renta media por hogar;2015;27.396
1100401022 Algeciras sección 01022;Renta media por persona ;2017;12.504
1100401022 Algeciras sección 01022;Renta media por persona ;2016;10.707
1100401022 Algeciras sección 01022;Renta media por persona ;2015;10.745
1100401022 Algeciras sección 01022;Renta media por hogar;2017;32.770
1100401022 Algeciras sección 01022;Renta media por hogar;2016;27.805
1100401022 Algeciras sección 01022;Renta media por hogar;2015;24.898
1100401023 Algeciras sección 01023;Renta media por persona ;2017;8.437
1100401023 Algeciras sección 01023;Renta media por persona ;2016;8.119
1100401023 Algeciras sección 01023;Renta media por persona ;2015;7.719
1100401023 Algeciras sección 01023;Renta media por hogar;2017;23.645
1100401023 Algeciras sección 01023;Renta media por hogar;2016;22.742
1100401023 Algeciras sección 01023;Renta media por hogar;2015;21.199
1100401024 Algeciras sección 01024;Renta media por persona ;2017;11.667
1100401024 Algeciras sección 01024;Renta media por persona ;2016;11.532
1100401024 Algeciras sección 01024;Renta media por persona ;2015;11.078
1100401024 Algeciras sección 01024;Renta media por hogar;2017;30.817
1100401024 Algeciras sección 01024;Renta media por hogar;2016;30.230
1100401024 Algeciras sección 01024;Renta media por hogar;2015;28.413
1100401025 Algeciras sección 01025;Renta media por persona ;2017;11.966
1100401025 Algeciras sección 01025;Renta media por persona ;2016;11.707
1100401025 Algeciras sección 01025;Renta media por persona ;2015;11.741
1100401025 Algeciras sección 01025;Renta media por hogar;2017;32.027
