Unidades territoriales;Indicadores de renta media;Periodo;Total
1400701 Baena distrito 01;Renta media por persona ;2016;7.408
1400701 Baena distrito 01;Renta media por persona ;2015;7.110
1400701 Baena distrito 01;Renta media por hogar;2017;21.557
1400701 Baena distrito 01;Renta media por hogar;2016;20.456
1400701 Baena distrito 01;Renta media por hogar;2015;19.609
1400701001 Baena sección 01001;Renta media por persona ;2017;9.507
1400701001 Baena sección 01001;Renta media por persona ;2016;8.228
1400701001 Baena sección 01001;Renta media por persona ;2015;8.036
1400701001 Baena sección 01001;Renta media por hogar;2017;23.664
1400701001 Baena sección 01001;Renta media por hogar;2016;22.073
1400701001 Baena sección 01001;Renta media por hogar;2015;21.389
1400701002 Baena sección 01002;Renta media por persona ;2017;7.520
1400701002 Baena sección 01002;Renta media por persona ;2016;7.116
1400701002 Baena sección 01002;Renta media por persona ;2015;6.750
1400701002 Baena sección 01002;Renta media por hogar;2017;20.712
1400701002 Baena sección 01002;Renta media por hogar;2016;20.065
1400701002 Baena sección 01002;Renta media por hogar;2015;19.042
1400701003 Baena sección 01003;Renta media por persona ;2017;6.988
1400701003 Baena sección 01003;Renta media por persona ;2016;6.304
1400701003 Baena sección 01003;Renta media por persona ;2015;6.009
1400701003 Baena sección 01003;Renta media por hogar;2017;18.907
1400701003 Baena sección 01003;Renta media por hogar;2016;17.483
1400701003 Baena sección 01003;Renta media por hogar;2015;16.821
1400702 Baena distrito 02;Renta media por persona ;2017;6.678
1400702 Baena distrito 02;Renta media por persona ;2016;6.095
1400702 Baena distrito 02;Renta media por persona ;2015;5.835
1400702 Baena distrito 02;Renta media por hogar;2017;16.195
1400702 Baena distrito 02;Renta media por hogar;2016;14.843
1400702 Baena distrito 02;Renta media por hogar;2015;14.434
1400702001 Baena sección 02001;Renta media por persona ;2017;6.678
1400702001 Baena sección 02001;Renta media por persona ;2016;6.095
1400702001 Baena sección 02001;Renta media por persona ;2015;5.835
1400702001 Baena sección 02001;Renta media por hogar;2017;16.195
1400702001 Baena sección 02001;Renta media por hogar;2016;14.843
1400702001 Baena sección 02001;Renta media por hogar;2015;14.434
1400703 Baena distrito 03;Renta media por persona ;2017;8.504
1400703 Baena distrito 03;Renta media por persona ;2016;7.879
1400703 Baena distrito 03;Renta media por persona ;2015;7.636
1400703 Baena distrito 03;Renta media por hogar;2017;22.076
1400703 Baena distrito 03;Renta media por hogar;2016;20.859
1400703 Baena distrito 03;Renta media por hogar;2015;20.302
1400703001 Baena sección 03001;Renta media por persona ;2017;8.042
1400703001 Baena sección 03001;Renta media por persona ;2016;7.394
1400703001 Baena sección 03001;Renta media por persona ;2015;7.386
1400703001 Baena sección 03001;Renta media por hogar;2017;20.119
1400703001 Baena sección 03001;Renta media por hogar;2016;19.452
1400703001 Baena sección 03001;Renta media por hogar;2015;19.409
1400703002 Baena sección 03002;Renta media por persona ;2017;10.060
1400703002 Baena sección 03002;Renta media por persona ;2016;9.043
1400703002 Baena sección 03002;Renta media por persona ;2015;8.755
1400703002 Baena sección 03002;Renta media por hogar;2017;24.606
1400703002 Baena sección 03002;Renta media por hogar;2016;23.258
1400703002 Baena sección 03002;Renta media por hogar;2015;22.271
1400703003 Baena sección 03003;Renta media por persona ;2017;6.706
1400703003 Baena sección 03003;Renta media por persona ;2016;6.331
1400703003 Baena sección 03003;Renta media por persona ;2015;6.217
1400703003 Baena sección 03003;Renta media por hogar;2017;17.558
1400703003 Baena sección 03003;Renta media por hogar;2016;16.774
1400703003 Baena sección 03003;Renta media por hogar;2015;16.282
1400703004 Baena sección 03004;Renta media por persona ;2017;7.376
1400703004 Baena sección 03004;Renta media por persona ;2016;6.801
1400703004 Baena sección 03004;Renta media por persona ;2015;6.701
1400703004 Baena sección 03004;Renta media por hogar;2017;18.989
1400703004 Baena sección 03004;Renta media por hogar;2016;17.547
1400703004 Baena sección 03004;Renta media por hogar;2015;17.158
1400703005 Baena sección 03005;Renta media por persona ;2017;7.856
1400703005 Baena sección 03005;Renta media por persona ;2016;7.468
1400703005 Baena sección 03005;Renta media por persona ;2015;7.064
1400703005 Baena sección 03005;Renta media por hogar;2017;21.023
1400703005 Baena sección 03005;Renta media por hogar;2016;20.012
1400703005 Baena sección 03005;Renta media por hogar;2015;19.513
1400703006 Baena sección 03006;Renta media por persona ;2017;9.387
1400703006 Baena sección 03006;Renta media por persona ;2016;8.725
1400703006 Baena sección 03006;Renta media por persona ;2015;8.517
1400703006 Baena sección 03006;Renta media por hogar;2017;25.193
1400703006 Baena sección 03006;Renta media por hogar;2016;23.784
1400703006 Baena sección 03006;Renta media por hogar;2015;23.382
1400703007 Baena sección 03007;Renta media por persona ;2017;9.067
1400703007 Baena sección 03007;Renta media por persona ;2016;8.312
1400703007 Baena sección 03007;Renta media por persona ;2015;7.950
1400703007 Baena sección 03007;Renta media por hogar;2017;23.847
1400703007 Baena sección 03007;Renta media por hogar;2016;22.282
1400703007 Baena sección 03007;Renta media por hogar;2015;21.496
1400704 Baena distrito 04;Renta media por persona ;2017;5.545
1400704 Baena distrito 04;Renta media por persona ;2016;5.077
1400704 Baena distrito 04;Renta media por persona ;2015;5.007
1400704 Baena distrito 04;Renta media por hogar;2017;14.552
1400704 Baena distrito 04;Renta media por hogar;2016;13.679
1400704 Baena distrito 04;Renta media por hogar;2015;13.460
