Unidades territoriales;Indicadores de renta media;Periodo;Total
2300205003 Alcalá la Real sección 05003;Renta media por hogar;2017;17.870
2300205003 Alcalá la Real sección 05003;Renta media por hogar;2016;17.484
2300205003 Alcalá la Real sección 05003;Renta media por hogar;2015;16.811
2300205004 Alcalá la Real sección 05004;Renta media por persona ;2017;""
2300205004 Alcalá la Real sección 05004;Renta media por persona ;2016;7.170
2300205004 Alcalá la Real sección 05004;Renta media por persona ;2015;7.077
2300205004 Alcalá la Real sección 05004;Renta media por hogar;2017;""
2300205004 Alcalá la Real sección 05004;Renta media por hogar;2016;17.186
2300205004 Alcalá la Real sección 05004;Renta media por hogar;2015;16.815
23003 Alcaudete;Renta media por persona ;2017;8.656
23003 Alcaudete;Renta media por persona ;2016;8.192
23003 Alcaudete;Renta media por persona ;2015;7.718
23003 Alcaudete;Renta media por hogar;2017;21.250
23003 Alcaudete;Renta media por hogar;2016;20.258
23003 Alcaudete;Renta media por hogar;2015;19.201
2300301 Alcaudete distrito 01;Renta media por persona ;2017;8.690
2300301 Alcaudete distrito 01;Renta media por persona ;2016;8.234
2300301 Alcaudete distrito 01;Renta media por persona ;2015;7.760
2300301 Alcaudete distrito 01;Renta media por hogar;2017;21.648
2300301 Alcaudete distrito 01;Renta media por hogar;2016;20.668
2300301 Alcaudete distrito 01;Renta media por hogar;2015;19.604
2300301001 Alcaudete sección 01001;Renta media por persona ;2017;7.351
2300301001 Alcaudete sección 01001;Renta media por persona ;2016;6.831
2300301001 Alcaudete sección 01001;Renta media por persona ;2015;6.454
2300301001 Alcaudete sección 01001;Renta media por hogar;2017;16.791
2300301001 Alcaudete sección 01001;Renta media por hogar;2016;15.838
2300301001 Alcaudete sección 01001;Renta media por hogar;2015;15.192
2300301002 Alcaudete sección 01002;Renta media por persona ;2017;7.298
2300301002 Alcaudete sección 01002;Renta media por persona ;2016;6.671
2300301002 Alcaudete sección 01002;Renta media por persona ;2015;6.404
2300301002 Alcaudete sección 01002;Renta media por hogar;2017;17.874
2300301002 Alcaudete sección 01002;Renta media por hogar;2016;16.321
2300301002 Alcaudete sección 01002;Renta media por hogar;2015;15.540
2300301003 Alcaudete sección 01003;Renta media por persona ;2017;7.262
2300301003 Alcaudete sección 01003;Renta media por persona ;2016;6.802
2300301003 Alcaudete sección 01003;Renta media por persona ;2015;6.406
2300301003 Alcaudete sección 01003;Renta media por hogar;2017;17.144
2300301003 Alcaudete sección 01003;Renta media por hogar;2016;16.371
2300301003 Alcaudete sección 01003;Renta media por hogar;2015;15.500
2300301004 Alcaudete sección 01004;Renta media por persona ;2017;9.365
2300301004 Alcaudete sección 01004;Renta media por persona ;2016;9.015
2300301004 Alcaudete sección 01004;Renta media por persona ;2015;8.372
2300301004 Alcaudete sección 01004;Renta media por hogar;2017;22.237
2300301004 Alcaudete sección 01004;Renta media por hogar;2016;21.650
2300301004 Alcaudete sección 01004;Renta media por hogar;2015;20.673
2300301005 Alcaudete sección 01005;Renta media por persona ;2017;8.913
2300301005 Alcaudete sección 01005;Renta media por persona ;2016;8.338
2300301005 Alcaudete sección 01005;Renta media por persona ;2015;7.812
2300301005 Alcaudete sección 01005;Renta media por hogar;2017;22.893
2300301005 Alcaudete sección 01005;Renta media por hogar;2016;21.682
2300301005 Alcaudete sección 01005;Renta media por hogar;2015;20.404
2300301006 Alcaudete sección 01006;Renta media por persona ;2017;8.344
2300301006 Alcaudete sección 01006;Renta media por persona ;2016;8.043
2300301006 Alcaudete sección 01006;Renta media por persona ;2015;7.523
2300301006 Alcaudete sección 01006;Renta media por hogar;2017;20.870
2300301006 Alcaudete sección 01006;Renta media por hogar;2016;20.159
2300301006 Alcaudete sección 01006;Renta media por hogar;2015;18.960
2300301007 Alcaudete sección 01007;Renta media por persona ;2017;9.933
2300301007 Alcaudete sección 01007;Renta media por persona ;2016;9.554
2300301007 Alcaudete sección 01007;Renta media por persona ;2015;9.088
2300301007 Alcaudete sección 01007;Renta media por hogar;2017;26.256
2300301007 Alcaudete sección 01007;Renta media por hogar;2016;25.345
2300301007 Alcaudete sección 01007;Renta media por hogar;2015;24.136
2300302 Alcaudete distrito 02;Renta media por persona ;2017;8.787
2300302 Alcaudete distrito 02;Renta media por persona ;2016;8.333
2300302 Alcaudete distrito 02;Renta media por persona ;2015;7.995
2300302 Alcaudete distrito 02;Renta media por hogar;2017;18.815
2300302 Alcaudete distrito 02;Renta media por hogar;2016;17.928
2300302 Alcaudete distrito 02;Renta media por hogar;2015;17.456
2300302001 Alcaudete sección 02001;Renta media por persona ;2017;8.787
2300302001 Alcaudete sección 02001;Renta media por persona ;2016;8.333
2300302001 Alcaudete sección 02001;Renta media por persona ;2015;7.995
2300302001 Alcaudete sección 02001;Renta media por hogar;2017;18.815
2300302001 Alcaudete sección 02001;Renta media por hogar;2016;17.928
2300302001 Alcaudete sección 02001;Renta media por hogar;2015;17.456
2300303 Alcaudete distrito 03;Renta media por persona ;2017;8.280
2300303 Alcaudete distrito 03;Renta media por persona ;2016;7.745
2300303 Alcaudete distrito 03;Renta media por persona ;2015;7.160
2300303 Alcaudete distrito 03;Renta media por hogar;2017;20.222
2300303 Alcaudete distrito 03;Renta media por hogar;2016;19.073
2300303 Alcaudete distrito 03;Renta media por hogar;2015;17.592
2300303001 Alcaudete sección 03001;Renta media por persona ;2017;8.280
2300303001 Alcaudete sección 03001;Renta media por persona ;2016;7.745
2300303001 Alcaudete sección 03001;Renta media por persona ;2015;7.160
2300303001 Alcaudete sección 03001;Renta media por hogar;2017;20.222
2300303001 Alcaudete sección 03001;Renta media por hogar;2016;19.073
2300303001 Alcaudete sección 03001;Renta media por hogar;2015;17.592
23004 Aldeaquemada;Renta media por persona ;2017;9.635
23004 Aldeaquemada;Renta media por persona ;2016;9.392
23004 Aldeaquemada;Renta media por persona ;2015;9.347
23004 Aldeaquemada;Renta media por hogar;2017;21.086
23004 Aldeaquemada;Renta media por hogar;2016;20.451
23004 Aldeaquemada;Renta media por hogar;2015;19.848
2300401 Aldeaquemada distrito 01;Renta media por persona ;2017;9.635
2300401 Aldeaquemada distrito 01;Renta media por persona ;2016;9.392
2300401 Aldeaquemada distrito 01;Renta media por persona ;2015;9.347
2300401 Aldeaquemada distrito 01;Renta media por hogar;2017;21.086
2300401 Aldeaquemada distrito 01;Renta media por hogar;2016;20.451
2300401 Aldeaquemada distrito 01;Renta media por hogar;2015;19.848
2300401001 Aldeaquemada sección 01001;Renta media por persona ;2017;9.635
2300401001 Aldeaquemada sección 01001;Renta media por persona ;2016;9.392
2300401001 Aldeaquemada sección 01001;Renta media por persona ;2015;9.347
2300401001 Aldeaquemada sección 01001;Renta media por hogar;2017;21.086
2300401001 Aldeaquemada sección 01001;Renta media por hogar;2016;20.451
2300401001 Aldeaquemada sección 01001;Renta media por hogar;2015;19.848
23005 Andújar;Renta media por persona ;2017;8.312
23005 Andújar;Renta media por persona ;2016;8.156
23005 Andújar;Renta media por persona ;2015;7.783
23005 Andújar;Renta media por hogar;2017;21.561
23005 Andújar;Renta media por hogar;2016;21.462
23005 Andújar;Renta media por hogar;2015;20.545
2300501 Andújar distrito 01;Renta media por persona ;2017;9.310
2300501 Andújar distrito 01;Renta media por persona ;2016;9.350
2300501 Andújar distrito 01;Renta media por persona ;2015;9.037
2300501 Andújar distrito 01;Renta media por hogar;2017;23.905
2300501 Andújar distrito 01;Renta media por hogar;2016;24.469
2300501 Andújar distrito 01;Renta media por hogar;2015;23.805
2300501001 Andújar sección 01001;Renta media por persona ;2017;9.745
2300501001 Andújar sección 01001;Renta media por persona ;2016;9.548
2300501001 Andújar sección 01001;Renta media por persona ;2015;9.292
2300501001 Andújar sección 01001;Renta media por hogar;2017;26.636
2300501001 Andújar sección 01001;Renta media por hogar;2016;26.286
2300501001 Andújar sección 01001;Renta media por hogar;2015;25.839
2300501002 Andújar sección 01002;Renta media por persona ;2017;9.429
2300501002 Andújar sección 01002;Renta media por persona ;2016;8.941
2300501002 Andújar sección 01002;Renta media por persona ;2015;8.824
2300501002 Andújar sección 01002;Renta media por hogar;2017;23.689
2300501002 Andújar sección 01002;Renta media por hogar;2016;23.105
2300501002 Andújar sección 01002;Renta media por hogar;2015;22.555
2300501003 Andújar sección 01003;Renta media por persona ;2017;8.544
2300501003 Andújar sección 01003;Renta media por persona ;2016;8.738
2300501003 Andújar sección 01003;Renta media por persona ;2015;8.417
2300501003 Andújar sección 01003;Renta media por hogar;2017;22.043
2300501003 Andújar sección 01003;Renta media por hogar;2016;22.966
2300501003 Andújar sección 01003;Renta media por hogar;2015;21.998
2300501004 Andújar sección 01004;Renta media por persona ;2017;9.632
2300501004 Andújar sección 01004;Renta media por persona ;2016;10.815
2300501004 Andújar sección 01004;Renta media por persona ;2015;10.383
2300501004 Andújar sección 01004;Renta media por hogar;2017;23.521
2300501004 Andújar sección 01004;Renta media por hogar;2016;27.280
2300501004 Andújar sección 01004;Renta media por hogar;2015;26.394
2300501005 Andújar sección 01005;Renta media por persona ;2017;6.580
2300501005 Andújar sección 01005;Renta media por persona ;2016;6.194
2300501005 Andújar sección 01005;Renta media por persona ;2015;5.689
2300501005 Andújar sección 01005;Renta media por hogar;2017;17.579
2300501005 Andújar sección 01005;Renta media por hogar;2016;16.427
2300501005 Andújar sección 01005;Renta media por hogar;2015;15.462
2300501006 Andújar sección 01006;Renta media por persona ;2017;11.876
2300501006 Andújar sección 01006;Renta media por persona ;2016;11.261
2300501006 Andújar sección 01006;Renta media por persona ;2015;11.022
2300501006 Andújar sección 01006;Renta media por hogar;2017;28.831
2300501006 Andújar sección 01006;Renta media por hogar;2016;28.480
2300501006 Andújar sección 01006;Renta media por hogar;2015;28.329
2300502 Andújar distrito 02;Renta media por persona ;2017;8.571
2300502 Andújar distrito 02;Renta media por persona ;2016;8.304
2300502 Andújar distrito 02;Renta media por persona ;2015;7.871
2300502 Andújar distrito 02;Renta media por hogar;2017;22.260
2300502 Andújar distrito 02;Renta media por hogar;2016;21.707
2300502 Andújar distrito 02;Renta media por hogar;2015;20.653
2300502001 Andújar sección 02001;Renta media por persona ;2017;6.752
2300502001 Andújar sección 02001;Renta media por persona ;2016;6.105
2300502001 Andújar sección 02001;Renta media por persona ;2015;5.820
2300502001 Andújar sección 02001;Renta media por hogar;2017;19.387
2300502001 Andújar sección 02001;Renta media por hogar;2016;17.651
2300502001 Andújar sección 02001;Renta media por hogar;2015;16.811
2300502002 Andújar sección 02002;Renta media por persona ;2017;8.528
2300502002 Andújar sección 02002;Renta media por persona ;2016;9.081
2300502002 Andújar sección 02002;Renta media por persona ;2015;8.384
2300502002 Andújar sección 02002;Renta media por hogar;2017;22.476
2300502002 Andújar sección 02002;Renta media por hogar;2016;23.818
2300502002 Andújar sección 02002;Renta media por hogar;2015;22.009
2300502003 Andújar sección 02003;Renta media por persona ;2017;7.726
2300502003 Andújar sección 02003;Renta media por persona ;2016;7.189
2300502003 Andújar sección 02003;Renta media por persona ;2015;7.054
2300502003 Andújar sección 02003;Renta media por hogar;2017;16.546
2300502003 Andújar sección 02003;Renta media por hogar;2016;15.928
2300502003 Andújar sección 02003;Renta media por hogar;2015;15.790
2300502004 Andújar sección 02004;Renta media por persona ;2017;7.780
2300502004 Andújar sección 02004;Renta media por persona ;2016;7.706
2300502004 Andújar sección 02004;Renta media por persona ;2015;7.427
2300502004 Andújar sección 02004;Renta media por hogar;2017;20.289
2300502004 Andújar sección 02004;Renta media por hogar;2016;20.044
2300502004 Andújar sección 02004;Renta media por hogar;2015;19.431
2300502005 Andújar sección 02005;Renta media por persona ;2017;10.879
2300502005 Andújar sección 02005;Renta media por persona ;2016;10.505
2300502005 Andújar sección 02005;Renta media por persona ;2015;9.750
2300502005 Andújar sección 02005;Renta media por hogar;2017;28.823
2300502005 Andújar sección 02005;Renta media por hogar;2016;28.274
2300502005 Andújar sección 02005;Renta media por hogar;2015;26.207
2300502006 Andújar sección 02006;Renta media por persona ;2017;8.433
2300502006 Andújar sección 02006;Renta media por persona ;2016;7.788
2300502006 Andújar sección 02006;Renta media por persona ;2015;7.661
2300502006 Andújar sección 02006;Renta media por hogar;2017;20.877
2300502006 Andújar sección 02006;Renta media por hogar;2016;19.633
2300502006 Andújar sección 02006;Renta media por hogar;2015;19.451
2300502007 Andújar sección 02007;Renta media por persona ;2017;8.240
2300502007 Andújar sección 02007;Renta media por persona ;2016;7.888
2300502007 Andújar sección 02007;Renta media por persona ;2015;7.496
2300502007 Andújar sección 02007;Renta media por hogar;2017;21.888
2300502007 Andújar sección 02007;Renta media por hogar;2016;20.913
2300502007 Andújar sección 02007;Renta media por hogar;2015;19.925
2300502008 Andújar sección 02008;Renta media por persona ;2017;10.149
2300502008 Andújar sección 02008;Renta media por persona ;2016;9.887
2300502008 Andújar sección 02008;Renta media por persona ;2015;9.177
2300502008 Andújar sección 02008;Renta media por hogar;2017;28.812
2300502008 Andújar sección 02008;Renta media por hogar;2016;27.770
2300502008 Andújar sección 02008;Renta media por hogar;2015;25.858
2300502009 Andújar sección 02009;Renta media por persona ;2017;8.768
2300502009 Andújar sección 02009;Renta media por persona ;2016;8.735
2300502009 Andújar sección 02009;Renta media por persona ;2015;8.165
2300502009 Andújar sección 02009;Renta media por hogar;2017;21.919
2300502009 Andújar sección 02009;Renta media por hogar;2016;22.183
2300502009 Andújar sección 02009;Renta media por hogar;2015;20.959
2300503 Andújar distrito 03;Renta media por persona ;2017;7.754
2300503 Andújar distrito 03;Renta media por persona ;2016;7.443
2300503 Andújar distrito 03;Renta media por persona ;2015;7.090
2300503 Andújar distrito 03;Renta media por hogar;2017;20.368
2300503 Andújar distrito 03;Renta media por hogar;2016;19.893
2300503 Andújar distrito 03;Renta media por hogar;2015;18.946
2300503001 Andújar sección 03001;Renta media por persona ;2017;8.552
2300503001 Andújar sección 03001;Renta media por persona ;2016;8.200
2300503001 Andújar sección 03001;Renta media por persona ;2015;7.678
2300503001 Andújar sección 03001;Renta media por hogar;2017;21.451
2300503001 Andújar sección 03001;Renta media por hogar;2016;20.792
2300503001 Andújar sección 03001;Renta media por hogar;2015;19.581
2300503002 Andújar sección 03002;Renta media por persona ;2017;6.684
2300503002 Andújar sección 03002;Renta media por persona ;2016;6.447
2300503002 Andújar sección 03002;Renta media por persona ;2015;6.094
2300503002 Andújar sección 03002;Renta media por hogar;2017;17.625
2300503002 Andújar sección 03002;Renta media por hogar;2016;17.524
2300503002 Andújar sección 03002;Renta media por hogar;2015;16.694
2300503003 Andújar sección 03003;Renta media por persona ;2017;8.452
2300503003 Andújar sección 03003;Renta media por persona ;2016;8.073
2300503003 Andújar sección 03003;Renta media por persona ;2015;7.593
2300503003 Andújar sección 03003;Renta media por hogar;2017;21.684
2300503003 Andújar sección 03003;Renta media por hogar;2016;21.304
2300503003 Andújar sección 03003;Renta media por hogar;2015;19.922
2300503004 Andújar sección 03004;Renta media por persona ;2017;8.647
2300503004 Andújar sección 03004;Renta media por persona ;2016;8.332
2300503004 Andújar sección 03004;Renta media por persona ;2015;8.040
2300503004 Andújar sección 03004;Renta media por hogar;2017;22.110
2300503004 Andújar sección 03004;Renta media por hogar;2016;21.645
2300503004 Andújar sección 03004;Renta media por hogar;2015;20.692
2300503005 Andújar sección 03005;Renta media por persona ;2017;6.737
2300503005 Andújar sección 03005;Renta media por persona ;2016;6.476
2300503005 Andújar sección 03005;Renta media por persona ;2015;6.220
2300503005 Andújar sección 03005;Renta media por hogar;2017;18.783
2300503005 Andújar sección 03005;Renta media por hogar;2016;18.311
2300503005 Andújar sección 03005;Renta media por hogar;2015;17.393
2300503006 Andújar sección 03006;Renta media por persona ;2017;7.117
2300503006 Andújar sección 03006;Renta media por persona ;2016;6.817
2300503006 Andújar sección 03006;Renta media por persona ;2015;6.572
2300503006 Andújar sección 03006;Renta media por hogar;2017;18.692
2300503006 Andújar sección 03006;Renta media por hogar;2016;17.940
2300503006 Andújar sección 03006;Renta media por hogar;2015;17.284
2300503007 Andújar sección 03007;Renta media por persona ;2017;9.089
2300503007 Andújar sección 03007;Renta media por persona ;2016;8.846
2300503007 Andújar sección 03007;Renta media por persona ;2015;8.392
2300503007 Andújar sección 03007;Renta media por hogar;2017;22.530
2300503007 Andújar sección 03007;Renta media por hogar;2016;21.978
2300503007 Andújar sección 03007;Renta media por hogar;2015;20.844
2300503008 Andújar sección 03008;Renta media por persona ;2017;6.555
2300503008 Andújar sección 03008;Renta media por persona ;2016;6.309
2300503008 Andújar sección 03008;Renta media por persona ;2015;6.120
2300503008 Andújar sección 03008;Renta media por hogar;2017;17.842
2300503008 Andújar sección 03008;Renta media por hogar;2016;17.654
2300503008 Andújar sección 03008;Renta media por hogar;2015;17.190
2300503009 Andújar sección 03009;Renta media por persona ;2017;7.788
2300503009 Andújar sección 03009;Renta media por persona ;2016;7.334
2300503009 Andújar sección 03009;Renta media por persona ;2015;6.965
2300503009 Andújar sección 03009;Renta media por hogar;2017;21.649
2300503009 Andújar sección 03009;Renta media por hogar;2016;20.811
2300503009 Andújar sección 03009;Renta media por hogar;2015;19.872
2300504 Andújar distrito 04;Renta media por persona ;2017;6.946
2300504 Andújar distrito 04;Renta media por persona ;2016;7.639
2300504 Andújar distrito 04;Renta media por persona ;2015;7.200
2300504 Andújar distrito 04;Renta media por hogar;2017;17.177
2300504 Andújar distrito 04;Renta media por hogar;2016;19.291
2300504 Andújar distrito 04;Renta media por hogar;2015;18.309
2300504001 Andújar sección 04001;Renta media por persona ;2017;6.946
2300504001 Andújar sección 04001;Renta media por persona ;2016;7.415
2300504001 Andújar sección 04001;Renta media por persona ;2015;6.936
