Unidades territoriales;Indicadores de renta media;Periodo;Total
21004 Almonaster la Real;Renta media por hogar;2017;21.782
21004 Almonaster la Real;Renta media por hogar;2016;21.207
21004 Almonaster la Real;Renta media por hogar;2015;20.169
2100401 Almonaster la Real distrito 01;Renta media por persona ;2017;9.437
2100401 Almonaster la Real distrito 01;Renta media por persona ;2016;9.073
2100401 Almonaster la Real distrito 01;Renta media por persona ;2015;8.448
2100401 Almonaster la Real distrito 01;Renta media por hogar;2017;21.544
2100401 Almonaster la Real distrito 01;Renta media por hogar;2016;21.190
2100401 Almonaster la Real distrito 01;Renta media por hogar;2015;19.977
2100401001 Almonaster la Real sección 01001;Renta media por persona ;2017;9.437
2100401001 Almonaster la Real sección 01001;Renta media por persona ;2016;9.073
2100401001 Almonaster la Real sección 01001;Renta media por persona ;2015;8.448
2100401001 Almonaster la Real sección 01001;Renta media por hogar;2017;21.544
2100401001 Almonaster la Real sección 01001;Renta media por hogar;2016;21.190
2100401001 Almonaster la Real sección 01001;Renta media por hogar;2015;19.977
2100402 Almonaster la Real distrito 02;Renta media por persona ;2017;10.358
2100402 Almonaster la Real distrito 02;Renta media por persona ;2016;9.787
2100402 Almonaster la Real distrito 02;Renta media por persona ;2015;9.215
2100402 Almonaster la Real distrito 02;Renta media por hogar;2017;22.085
2100402 Almonaster la Real distrito 02;Renta media por hogar;2016;21.228
2100402 Almonaster la Real distrito 02;Renta media por hogar;2015;20.419
2100402001 Almonaster la Real sección 02001;Renta media por persona ;2017;10.358
2100402001 Almonaster la Real sección 02001;Renta media por persona ;2016;9.787
2100402001 Almonaster la Real sección 02001;Renta media por persona ;2015;9.215
2100402001 Almonaster la Real sección 02001;Renta media por hogar;2017;22.085
2100402001 Almonaster la Real sección 02001;Renta media por hogar;2016;21.228
2100402001 Almonaster la Real sección 02001;Renta media por hogar;2015;20.419
21005 Almonte;Renta media por persona ;2017;7.770
21005 Almonte;Renta media por persona ;2016;7.455
21005 Almonte;Renta media por persona ;2015;7.250
21005 Almonte;Renta media por hogar;2017;21.371
21005 Almonte;Renta media por hogar;2016;20.885
21005 Almonte;Renta media por hogar;2015;20.270
2100501 Almonte distrito 01;Renta media por persona ;2017;7.939
