Municipios;Sexo;Periodo;Total
21003 Almendro, El;Hombres;2015;436
21003 Almendro, El;Hombres;2014;446
21003 Almendro, El;Hombres;2013;453
21003 Almendro, El;Hombres;2012;454
21003 Almendro, El;Hombres;2011;459
21003 Almendro, El;Hombres;2010;466
21003 Almendro, El;Hombres;2009;451
21003 Almendro, El;Hombres;2008;445
21003 Almendro, El;Hombres;2007;434
21003 Almendro, El;Hombres;2006;438
21003 Almendro, El;Hombres;2005;436
21003 Almendro, El;Hombres;2004;436
21003 Almendro, El;Hombres;2003;443
21003 Almendro, El;Hombres;2002;427
21003 Almendro, El;Hombres;2001;441
21003 Almendro, El;Hombres;2000;448
21003 Almendro, El;Hombres;1999;450
21003 Almendro, El;Hombres;1998;454
21003 Almendro, El;Hombres;1997;""
21003 Almendro, El;Hombres;1996;448
21003 Almendro, El;Mujeres;2019;388
21003 Almendro, El;Mujeres;2018;398
21003 Almendro, El;Mujeres;2017;398
21003 Almendro, El;Mujeres;2016;398
21003 Almendro, El;Mujeres;2015;393
21003 Almendro, El;Mujeres;2014;400
21003 Almendro, El;Mujeres;2013;394
21003 Almendro, El;Mujeres;2012;405
21003 Almendro, El;Mujeres;2011;411
21003 Almendro, El;Mujeres;2010;413
21003 Almendro, El;Mujeres;2009;416
21003 Almendro, El;Mujeres;2008;415
21003 Almendro, El;Mujeres;2007;411
21003 Almendro, El;Mujeres;2006;409
21003 Almendro, El;Mujeres;2005;395
21003 Almendro, El;Mujeres;2004;398
21003 Almendro, El;Mujeres;2003;398
21003 Almendro, El;Mujeres;2002;396
21003 Almendro, El;Mujeres;2001;410
21003 Almendro, El;Mujeres;2000;416
21003 Almendro, El;Mujeres;1999;424
21003 Almendro, El;Mujeres;1998;426
21003 Almendro, El;Mujeres;1997;""
21003 Almendro, El;Mujeres;1996;414
21004 Almonaster la Real;Total;2019;1.819
21004 Almonaster la Real;Total;2018;""
21004 Almonaster la Real;Total;2017;""
21004 Almonaster la Real;Total;2016;""
21004 Almonaster la Real;Total;2015;""
21004 Almonaster la Real;Total;2014;""
21004 Almonaster la Real;Total;2013;""
21004 Almonaster la Real;Total;2012;""
21004 Almonaster la Real;Total;2011;""
21004 Almonaster la Real;Total;2010;""
21004 Almonaster la Real;Total;2009;""
21004 Almonaster la Real;Total;2008;""
21004 Almonaster la Real;Total;2007;""
21004 Almonaster la Real;Total;2006;""
21004 Almonaster la Real;Total;2005;""
21004 Almonaster la Real;Total;2004;""
21004 Almonaster la Real;Total;2003;""
21004 Almonaster la Real;Total;2002;""
21004 Almonaster la Real;Total;2001;""
21004 Almonaster la Real;Total;2000;""
21004 Almonaster la Real;Total;1999;""
21004 Almonaster la Real;Total;1998;""
21004 Almonaster la Real;Total;1997;""
21004 Almonaster la Real;Total;1996;""
21004 Almonaster la Real;Hombres;2019;978
21004 Almonaster la Real;Hombres;2018;984
21004 Almonaster la Real;Hombres;2017;978
21004 Almonaster la Real;Hombres;2016;993
21004 Almonaster la Real;Hombres;2015;978
21004 Almonaster la Real;Hombres;2014;976
21004 Almonaster la Real;Hombres;2013;920
21004 Almonaster la Real;Hombres;2012;918
21004 Almonaster la Real;Hombres;2011;922
21004 Almonaster la Real;Hombres;2010;916
21004 Almonaster la Real;Hombres;2009;915
21004 Almonaster la Real;Hombres;2008;917
21004 Almonaster la Real;Hombres;2007;909
21004 Almonaster la Real;Hombres;2006;919
21004 Almonaster la Real;Hombres;2005;899
21004 Almonaster la Real;Hombres;2004;923
21004 Almonaster la Real;Hombres;2003;929
21004 Almonaster la Real;Hombres;2002;937
21004 Almonaster la Real;Hombres;2001;953
21004 Almonaster la Real;Hombres;2000;960
21004 Almonaster la Real;Hombres;1999;983
21004 Almonaster la Real;Hombres;1998;980
21004 Almonaster la Real;Hombres;1997;""
21004 Almonaster la Real;Hombres;1996;1.010
21004 Almonaster la Real;Mujeres;2019;841
21004 Almonaster la Real;Mujeres;2018;853
21004 Almonaster la Real;Mujeres;2017;870
21004 Almonaster la Real;Mujeres;2016;898
21004 Almonaster la Real;Mujeres;2015;883
21004 Almonaster la Real;Mujeres;2014;887
21004 Almonaster la Real;Mujeres;2013;889
21004 Almonaster la Real;Mujeres;2012;906
21004 Almonaster la Real;Mujeres;2011;927
21004 Almonaster la Real;Mujeres;2010;917
21004 Almonaster la Real;Mujeres;2009;933
21004 Almonaster la Real;Mujeres;2008;932
21004 Almonaster la Real;Mujeres;2007;922
21004 Almonaster la Real;Mujeres;2006;941
21004 Almonaster la Real;Mujeres;2005;906
21004 Almonaster la Real;Mujeres;2004;935
21004 Almonaster la Real;Mujeres;2003;950
21004 Almonaster la Real;Mujeres;2002;961
21004 Almonaster la Real;Mujeres;2001;985
21004 Almonaster la Real;Mujeres;2000;1.003
21004 Almonaster la Real;Mujeres;1999;1.028
21004 Almonaster la Real;Mujeres;1998;1.036
21004 Almonaster la Real;Mujeres;1997;""
21004 Almonaster la Real;Mujeres;1996;1.047
21005 Almonte;Total;2019;24.191
21005 Almonte;Total;2018;""
21005 Almonte;Total;2017;""
21005 Almonte;Total;2016;""
21005 Almonte;Total;2015;""
21005 Almonte;Total;2014;""
21005 Almonte;Total;2013;""
21005 Almonte;Total;2012;""
21005 Almonte;Total;2011;""
21005 Almonte;Total;2010;""
21005 Almonte;Total;2009;""
21005 Almonte;Total;2008;""
21005 Almonte;Total;2007;""
21005 Almonte;Total;2006;""
21005 Almonte;Total;2005;""
21005 Almonte;Total;2004;""
21005 Almonte;Total;2003;""
21005 Almonte;Total;2002;""
21005 Almonte;Total;2001;""
21005 Almonte;Total;2000;""
21005 Almonte;Total;1999;""
21005 Almonte;Total;1998;""
21005 Almonte;Total;1997;""
21005 Almonte;Total;1996;""
21005 Almonte;Hombres;2019;11.686
21005 Almonte;Hombres;2018;11.642
21005 Almonte;Hombres;2017;11.613
21005 Almonte;Hombres;2016;11.610
21005 Almonte;Hombres;2015;11.648
21005 Almonte;Hombres;2014;11.560
21005 Almonte;Hombres;2013;11.515
21005 Almonte;Hombres;2012;11.324
21005 Almonte;Hombres;2011;11.292
21005 Almonte;Hombres;2010;11.131
21005 Almonte;Hombres;2009;10.883
21005 Almonte;Hombres;2008;10.777
21005 Almonte;Hombres;2007;10.570
21005 Almonte;Hombres;2006;10.336
21005 Almonte;Hombres;2005;9.989
21005 Almonte;Hombres;2004;9.732
21005 Almonte;Hombres;2003;9.351
21005 Almonte;Hombres;2002;9.210
