Unidades territoriales;Indicadores de renta media;Periodo;Total
1800601 Albuñol distrito 01;Renta media por hogar;2016;16.954
1800601 Albuñol distrito 01;Renta media por hogar;2015;16.691
1800601001 Albuñol sección 01001;Renta media por persona ;2017;6.155
1800601001 Albuñol sección 01001;Renta media por persona ;2016;6.116
1800601001 Albuñol sección 01001;Renta media por persona ;2015;6.175
1800601001 Albuñol sección 01001;Renta media por hogar;2017;17.278
1800601001 Albuñol sección 01001;Renta media por hogar;2016;16.951
1800601001 Albuñol sección 01001;Renta media por hogar;2015;16.691
1800601002 Albuñol sección 01002;Renta media por persona ;2017;6.159
1800601002 Albuñol sección 01002;Renta media por persona ;2016;5.891
1800601002 Albuñol sección 01002;Renta media por persona ;2015;5.811
1800601002 Albuñol sección 01002;Renta media por hogar;2017;17.695
1800601002 Albuñol sección 01002;Renta media por hogar;2016;16.956
1800601002 Albuñol sección 01002;Renta media por hogar;2015;16.692
1800602 Albuñol distrito 02;Renta media por persona ;2017;5.722
1800602 Albuñol distrito 02;Renta media por persona ;2016;5.405
1800602 Albuñol distrito 02;Renta media por persona ;2015;5.469
1800602 Albuñol distrito 02;Renta media por hogar;2017;17.932
1800602 Albuñol distrito 02;Renta media por hogar;2016;16.785
1800602 Albuñol distrito 02;Renta media por hogar;2015;16.875
1800602001 Albuñol sección 02001;Renta media por persona ;2017;5.722
1800602001 Albuñol sección 02001;Renta media por persona ;2016;5.405
1800602001 Albuñol sección 02001;Renta media por persona ;2015;5.469
1800602001 Albuñol sección 02001;Renta media por hogar;2017;17.932
1800602001 Albuñol sección 02001;Renta media por hogar;2016;16.785
1800602001 Albuñol sección 02001;Renta media por hogar;2015;16.875
18007 Albuñuelas;Renta media por persona ;2017;8.248
18007 Albuñuelas;Renta media por persona ;2016;8.270
18007 Albuñuelas;Renta media por persona ;2015;8.601
18007 Albuñuelas;Renta media por hogar;2017;17.742
18007 Albuñuelas;Renta media por hogar;2016;17.776
18007 Albuñuelas;Renta media por hogar;2015;18.914
1800701 Albuñuelas distrito 01;Renta media por persona ;2017;8.248
1800701 Albuñuelas distrito 01;Renta media por persona ;2016;8.270
1800701 Albuñuelas distrito 01;Renta media por persona ;2015;8.601
1800701 Albuñuelas distrito 01;Renta media por hogar;2017;17.742
1800701 Albuñuelas distrito 01;Renta media por hogar;2016;17.776
1800701 Albuñuelas distrito 01;Renta media por hogar;2015;18.914
1800701001 Albuñuelas sección 01001;Renta media por persona ;2017;8.248
1800701001 Albuñuelas sección 01001;Renta media por persona ;2016;8.270
1800701001 Albuñuelas sección 01001;Renta media por persona ;2015;8.601
1800701001 Albuñuelas sección 01001;Renta media por hogar;2017;17.742
1800701001 Albuñuelas sección 01001;Renta media por hogar;2016;17.776
1800701001 Albuñuelas sección 01001;Renta media por hogar;2015;18.914
18010 Aldeire;Renta media por persona ;2017;8.993
18010 Aldeire;Renta media por persona ;2016;8.585
18010 Aldeire;Renta media por persona ;2015;8.785
18010 Aldeire;Renta media por hogar;2017;19.293
18010 Aldeire;Renta media por hogar;2016;18.595
18010 Aldeire;Renta media por hogar;2015;19.212
1801001 Aldeire distrito 01;Renta media por persona ;2017;8.993
1801001 Aldeire distrito 01;Renta media por persona ;2016;8.585
1801001 Aldeire distrito 01;Renta media por persona ;2015;8.785
1801001 Aldeire distrito 01;Renta media por hogar;2017;19.293
1801001 Aldeire distrito 01;Renta media por hogar;2016;18.595
1801001 Aldeire distrito 01;Renta media por hogar;2015;19.212
1801001001 Aldeire sección 01001;Renta media por persona ;2017;8.993
1801001001 Aldeire sección 01001;Renta media por persona ;2016;8.585
