Unidades territoriales;Indicadores de renta media;Periodo;Total
0400304001 Adra sección 04001;Renta media por hogar;2015;17.203
0400305 Adra distrito 05;Renta media por persona ;2017;7.007
0400305 Adra distrito 05;Renta media por persona ;2016;6.555
0400305 Adra distrito 05;Renta media por persona ;2015;6.209
0400305 Adra distrito 05;Renta media por hogar;2017;21.331
0400305 Adra distrito 05;Renta media por hogar;2016;20.543
0400305 Adra distrito 05;Renta media por hogar;2015;19.365
0400305001 Adra sección 05001;Renta media por persona ;2017;6.621
0400305001 Adra sección 05001;Renta media por persona ;2016;6.310
0400305001 Adra sección 05001;Renta media por persona ;2015;5.969
0400305001 Adra sección 05001;Renta media por hogar;2017;20.164
0400305001 Adra sección 05001;Renta media por hogar;2016;19.434
0400305001 Adra sección 05001;Renta media por hogar;2015;18.380
0400305002 Adra sección 05002;Renta media por persona ;2017;7.276
0400305002 Adra sección 05002;Renta media por persona ;2016;6.730
0400305002 Adra sección 05002;Renta media por persona ;2015;6.383
0400305002 Adra sección 05002;Renta media por hogar;2017;22.142
0400305002 Adra sección 05002;Renta media por hogar;2016;21.355
0400305002 Adra sección 05002;Renta media por hogar;2015;20.095
04004 Albanchez;Renta media por persona ;2017;8.763
04004 Albanchez;Renta media por persona ;2016;8.130
04004 Albanchez;Renta media por persona ;2015;8.372
04004 Albanchez;Renta media por hogar;2017;17.586
04004 Albanchez;Renta media por hogar;2016;16.003
04004 Albanchez;Renta media por hogar;2015;16.986
0400401 Albanchez distrito 01;Renta media por persona ;2017;8.763
0400401 Albanchez distrito 01;Renta media por persona ;2016;8.130
0400401 Albanchez distrito 01;Renta media por persona ;2015;8.372
0400401 Albanchez distrito 01;Renta media por hogar;2017;17.586
0400401 Albanchez distrito 01;Renta media por hogar;2016;16.003
0400401 Albanchez distrito 01;Renta media por hogar;2015;16.986
0400401001 Albanchez sección 01001;Renta media por persona ;2017;8.763
0400401001 Albanchez sección 01001;Renta media por persona ;2016;8.130
0400401001 Albanchez sección 01001;Renta media por persona ;2015;8.372
0400401001 Albanchez sección 01001;Renta media por hogar;2017;17.586
0400401001 Albanchez sección 01001;Renta media por hogar;2016;16.003
0400401001 Albanchez sección 01001;Renta media por hogar;2015;16.986
04005 Alboloduy;Renta media por persona ;2017;8.956
04005 Alboloduy;Renta media por persona ;2016;8.939
04005 Alboloduy;Renta media por persona ;2015;9.010
04005 Alboloduy;Renta media por hogar;2017;19.348
04005 Alboloduy;Renta media por hogar;2016;19.404
04005 Alboloduy;Renta media por hogar;2015;19.048
0400501 Alboloduy distrito 01;Renta media por persona ;2017;8.956
0400501 Alboloduy distrito 01;Renta media por persona ;2016;8.939
0400501 Alboloduy distrito 01;Renta media por persona ;2015;9.010
0400501 Alboloduy distrito 01;Renta media por hogar;2017;19.348
0400501 Alboloduy distrito 01;Renta media por hogar;2016;19.404
0400501 Alboloduy distrito 01;Renta media por hogar;2015;19.048
0400501001 Alboloduy sección 01001;Renta media por persona ;2017;8.956
0400501001 Alboloduy sección 01001;Renta media por persona ;2016;8.939
0400501001 Alboloduy sección 01001;Renta media por persona ;2015;9.010
0400501001 Alboloduy sección 01001;Renta media por hogar;2017;19.348
0400501001 Alboloduy sección 01001;Renta media por hogar;2016;19.404
0400501001 Alboloduy sección 01001;Renta media por hogar;2015;19.048
04006 Albox;Renta media por persona ;2017;7.761
04006 Albox;Renta media por persona ;2016;7.499
04006 Albox;Renta media por persona ;2015;7.520
04006 Albox;Renta media por hogar;2017;21.465
04006 Albox;Renta media por hogar;2016;20.551
